Server_Name	Storage_Device	Storage_Vol(GB)	Source	Tier
RETDAYESX151	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX151	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX152	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX152	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX152	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX152	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX153	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX153	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX153	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX153	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX154	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX154	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX154	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX154	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX155	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX155	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX155	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX155	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX175	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX175	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX175	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX175	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX176	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX176	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX176	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX176	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX177	XIV_7820623	2981.236	svcmbge01v	T1
RETDAYESX177	XIV_6050008	1220.329	svcmbge01v	T1
RETDAYESX177	XIV_7825620	76.800	svcmbge01v	T1
RETDAYESX177	XIV_7820520	226.982	svcmbge01v	T1
RETDAYESX190	XIV_6050013	599.040	svcmbge01v	T1
RETDAYESX193	XIV_6050013	599.040	svcmbge01v	T1
RETDAYESX198	XIV_6050008	1000.000	svcmbge01v	T1
RETDAYESX199	XIV_6050008	1000.000	svcmbge01v	T1
RETDAYESX301	XIV_6050008	4992.000	svcmbge01v	T1
RETDAYESX302	XIV_7820520	181.527	svcmbge01v	T1
RETDAYESX302	XIV_6050013	1270.691	svcmbge01v	T1
RETDAYESX303	XIV_6050008	4992.000	svcmbge01v	T1
RETDAYESX304	XIV_7820623	3120.274	svcmbge01v	T1
RETDAYESX304	XIV_6050013	2139.429	svcmbge01v	T1
RETDAYESX304	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX304	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX305	XIV_7820623	3120.274	svcmbge01v	T1
RETDAYESX305	XIV_6050013	2139.429	svcmbge01v	T1
RETDAYESX305	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX305	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX307	XIV_7820623	3120.274	svcmbge01v	T1
RETDAYESX307	XIV_6050013	2139.429	svcmbge01v	T1
RETDAYESX307	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX307	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX308	XIV_7820623	3120.274	svcmbge01v	T1
RETDAYESX308	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX308	XIV_6050013	2139.429	svcmbge01v	T1
RETDAYESX308	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX310	XIV_7820623	3120.274	svcmbge01v	T1
RETDAYESX310	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX310	XIV_6050013	2139.429	svcmbge01v	T1
RETDAYESX310	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX332	XIV_7820623	2960.274	svcmbge01v	T1
RETDAYESX332	XIV_6050013	2139.429	svcmbge01v	T1
RETDAYESX332	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX332	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX333	XIV_7820623	2960.274	svcmbge01v	T1
RETDAYESX333	XIV_6050013	2139.429	svcmbge01v	T1
RETDAYESX333	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX333	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX334	XIV_7820623	2960.274	svcmbge01v	T1
RETDAYESX334	XIV_6050013	2139.429	svcmbge01v	T1
RETDAYESX334	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX334	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX335	XIV_7820623	2960.274	svcmbge01v	T1
RETDAYESX335	XIV_6050013	2139.429	svcmbge01v	T1
RETDAYESX335	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX335	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX336	XIV_7820623	2960.274	svcmbge01v	T1
RETDAYESX336	XIV_6050013	2139.429	svcmbge01v	T1
RETDAYESX336	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX336	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX337	XIV_7820623	3984.274	svcmbge01v	T1
RETDAYESX337	XIV_6050013	2264.429	svcmbge01v	T1
RETDAYESX337	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX337	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX338	XIV_7820623	3984.274	svcmbge01v	T1
RETDAYESX338	XIV_6050013	2264.429	svcmbge01v	T1
RETDAYESX338	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX338	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX339	XIV_7820623	3984.274	svcmbge01v	T1
RETDAYESX339	XIV_6050013	2264.429	svcmbge01v	T1
RETDAYESX339	XIV_7820520	2638.994	svcmbge01v	T1
RETDAYESX339	XIV_6050008	998.400	svcmbge01v	T1
RETDAYESX340	XIV_7820623	3734.674	svcmbge01v	T1
RETDAYESX340	XIV_6050013	2264.429	svcmbge01v	T1
